Date,open,high,low,close,volume,adj_close,ret_1d,mom_5d,mom_5d_z,fwd_ret_5d,signal_z,position,strategy_ret_net,equity_strategy,equity_buyhold
2015-05-19,130.690002,130.880005,129.639999,130.070007,44633200,125.581344,-0.0009216911899658786,0.03336780351844726,1.4281143384470814,0.015145577674339883,1.4281143384470814,1,0.0,1.0,0.9990783088100341
2015-05-20,130.0,130.979996,129.339996,130.059998,36454900,125.571679,-7.69620685059369e-05,0.03214027201238201,1.3791965571073705,0.013224677835198761,1.3791965571073705,1,0.0,1.0,0.9990014176767887
2015-05-21,130.070007,131.630005,129.830002,131.389999,39730400,126.855783,0.010226063792616813,0.01892208275303875,0.7921186425198071,-0.008448136731772027,0.7921186425198071,0,0.0,1.0,1.0092172699028663
2015-05-22,131.600006,132.970001,131.399994,132.539993,45596000,127.966091,0.008752521751412834,0.029276917593952456,1.214516193687867,-0.015089786559159712,1.214516193687867,1,0.0,1.0,1.0180504660095926
2015-05-26,132.600006,132.910004,129.119995,129.619995,70697600,125.146861,-0.022031070715444523,-0.0043782757989561105,-0.21713224171378512,0.002623142101822351,-0.21713224171378512,0,0.0,1.0,0.995621724201044
2015-05-27,130.339996,132.259995,130.050003,132.039993,45833200,127.483346,0.018669944905769453,0.015145577674339883,0.5875135852200701,-0.014541036599400203,0.5875135852200701,0,0.014145577674339882,1.01414557767434,1.0142099269388647
2015-05-28,131.860001,131.949997,131.100006,131.779999,30733300,127.232324,-0.001969057197478863,0.013224677835198761,0.48328881800000323,-0.018363926135625763,0.48328881800000323,0,0.0,1.01414557767434,1.0122128895824711
2015-05-29,131.229996,131.449997,129.899994,130.279999,50884500,125.784088,-0.011382610601375243,-0.008448136731772027,-0.44860022142106787,-0.012511550745591848,-0.44860022142106787,0,0.0,1.01414557767434,1.000691264414661
2015-06-01,130.279999,131.389999,130.050003,130.539993,32112800,126.03511,0.001995657829152453,-0.015089786559159712,-0.7560698619638166,-0.020989659151327,-0.7560698619638166,0,0.0,1.01414557767434,1.0026883017710546
2015-06-02,129.860001,130.660004,129.320007,129.960007,33667600,125.475139,-0.004442976246856967,0.002623142101822351,0.005995606044274593,-0.019544541010629968,0.005995606044274593,0,0.0,1.01414557767434,0.9982333814632844
2015-06-03,130.660004,130.940002,129.899994,130.119995,30889400,125.629606,0.0012310566159245973,-0.014541036599400203,-0.7486289226065985,-0.009529584929208523,-0.7486289226065985,0,0.0,1.01414557767434,0.9994622632717716
2015-06-04,129.580002,130.580002,128.910004,129.360001,38450100,124.895839,-0.005840717195276457,-0.018363926135625763,-0.9489647887922477,-0.005952416076887901,-0.9489647887922477,0,0.0,1.01414557767434,0.9936246868446502
2015-06-05,129.5,129.690002,128.360001,128.649994,35626800,124.210334,-0.005488613595845959,-0.012511550745591848,-0.7460802205940726,-0.011504042811767978,-0.7460802205940726,0,0.0,1.01414557767434,0.9881710648792665
2015-06-08,128.899994,129.210007,126.830002,127.800003,52674800,123.389676,-0.006607002602537104,-0.020989659151327,-1.133768008137818,-0.0068857948861134055,-1.133768008137818,-1,0.0,1.01414557767434,0.9816422160818573
2015-06-09,126.699997,128.080002,125.620003,127.419998,56075400,123.022785,-0.0029734335310191984,-0.019544541010629968,-1.0738863311046611,0.0014126570130890137,-1.0738863311046611,-1,0.0,1.01414557767434,0.9787233682010955
2015-06-10,127.919998,129.339996,127.849998,128.880005,39087300,124.432408,0.011458227026806433,-0.009529584929208523,-0.6141627312262021,-0.012259483076145217,-0.6141627312262021,0,0.0,1.01414557767434,0.9899378027503843
2015-06-11,129.179993,130.179993,128.479996,128.589996,35390900,124.152407,-0.0022502256807567234,-0.005952416076887901,-0.42698413336513696,-0.00552141530369199,-0.42698413336513696,0,0.0,1.01414557767434,0.9877102192842836
2015-06-12,128.190002,128.330002,127.110001,127.169998,36886200,122.781413,-0.01104283060738398,-0.011504042811767978,-0.6674990671686019,-0.004482193082433472,-0.6674990671686019,0,0.0,1.01414557767434,0.9768031026435452
2015-06-15,126.099998,127.239998,125.709999,126.919998,43988900,122.54004,-0.0019658757307182695,-0.0068857948861134055,-0.4181296309384997,0.005436516913165601,-0.4181296309384997,0,0.0058857948861134055,1.0201146305291902,0.974882829130368
2015-06-16,127.029999,127.849998,126.370003,127.599998,31494100,123.196574,0.005357710018700779,0.0014126570130890137,0.008616445538558348,-0.004467088508483985,0.008616445538558348,0,0.0,1.0201146305291902,0.980105968631059
