entry_date,exit_date,direction,signal_z,gross_return,net_return
2015-05-19,2015-05-27,1,1.4281143384470814,0.015145577674339883,0.014145577674339882
2015-06-08,2015-06-15,-1,-1.133768008137818,0.0068857948861134055,0.0058857948861134055
2015-06-29,2015-07-07,-1,-1.3837186548997629,-0.00931505900924412,-0.01031505900924412
2015-07-08,2015-07-15,-1,-1.2217729981798906,-0.03467406220633906,-0.03567406220633906
2015-07-15,2015-07-22,1,1.7487861112129246,-0.0126162932367202,-0.0136162932367202
2015-07-23,2015-07-30,-1,-1.1011397005850894,0.02229147275793031,0.021291472757930308
2015-08-03,2015-08-10,-1,-1.2593510409443183,-0.015382489707172375,-0.016382489707172376
2015-08-18,2015-08-25,1,1.3080043995870785,-0.10952791136456486,-0.11052791136456486
2015-08-25,2015-09-01,-1,-2.7520508781704667,-0.03836517182244781,-0.03936517182244781
2015-09-01,2015-09-09,1,1.2569761379508735,0.022558491595170427,0.021558491595170426
2015-09-11,2015-09-18,1,1.100282648675726,-0.0066544260433856195,-0.0076544260433856195
2015-10-21,2015-10-28,1,1.0092969836630215,0.04843525654472902,0.04743525654472902
2015-10-28,2015-11-04,1,1.2362347389779824,0.022889274036027363,0.021889274036027362
2015-11-10,2015-11-17,-1,-1.1836096030589964,0.026376589642480686,0.025376589642480685
2015-11-20,2015-11-30,1,1.5276954764747859,-0.00838222776869102,-0.00938222776869102
2015-12-11,2015-12-18,-1,-1.6338646450693233,0.06317372154085887,0.06217372154085887
2015-12-18,2015-12-28,-1,-1.74711836233989,-0.007450725112116752,-0.008450725112116753
2016-01-05,2016-01-12,-1,-1.034968369772644,0.026774418179336235,0.025774418179336234
2016-01-14,2016-01-22,1,1.0224766094999855,0.019091659463288835,0.018091659463288834
2016-01-26,2016-02-02,1,1.2677539605606576,-0.05510544829297537,-0.05610544829297537
2016-02-02,2016-02-09,-1,-1.0683397914072323,-0.010853415012295198,-0.011853415012295199
2016-02-17,2016-02-24,1,1.3933165718801177,-0.0205870798661536,-0.021587079866153602
2016-03-01,2016-03-08,1,2.2865358593628415,0.004973642838753234,0.003973642838753234
2016-03-15,2016-03-22,1,1.1641403287648484,0.020462798956917716,0.019462798956917715
2016-04-01,2016-04-08,1,1.0614027126160193,-0.012091957140257237,-0.013091957140257238
2016-04-11,2016-04-18,-1,-1.041967186115064,0.014125783409287718,0.013125783409287717
2016-04-19,2016-04-26,-1,-1.53685716316748,0.02394542772981101,0.022945427729811008
2016-04-26,2016-05-03,-1,-1.1015430505918167,0.08787731622454809,0.08687731622454808
2016-05-03,2016-05-10,-1,-2.1694351345514407,0.01251540521174399,0.01151540521174399
2016-05-19,2016-05-26,1,1.070743451560845,0.0659236385570563,0.0649236385570563
2016-05-26,2016-06-03,1,1.5376354696334404,-0.024798376766476005,-0.025798376766476006
2016-07-01,2016-07-11,1,1.0094851174753485,0.01136723165157405,0.01036723165157405
2016-07-26,2016-08-02,-1,-1.0251400549648761,-0.0807903687105429,-0.0817903687105429
2016-08-02,2016-08-09,1,2.3581304552343774,0.04708500441276686,0.04608500441276686
2016-08-09,2016-08-16,1,1.1275403377158528,0.005238485523256342,0.004238485523256342
2016-08-26,2016-09-02,-1,-1.1208820434056277,-0.007387321893896237,-0.008387321893896238
2016-09-09,2016-09-16,-1,-1.5355121943914167,-0.11432174450178945,-0.11532174450178945
2016-09-16,2016-09-23,1,3.2595226532550563,-0.019230762642542087,-0.02023076264254209
2016-09-23,2016-09-30,-1,-1.1626761340904959,-0.0030166267133151514,-0.0040166267133151514
2016-10-27,2016-11-03,-1,-1.146091788011441,0.03569278317863178,0.03469278317863178
2016-11-03,2016-11-10,-1,-1.3359575845428822,0.01857416354749286,0.01757416354749286
2016-11-14,2016-11-21,-1,-1.4017321840762644,-0.05694829832193116,-0.05794829832193116
2016-11-21,2016-11-29,1,1.720355996705152,-0.002416580732290341,-0.003416580732290341
2016-12-09,2016-12-16,1,1.15196234811346,0.017727109631406668,0.016727109631406667
2016-12-19,2016-12-27,1,1.088692395314128,0.005315521875641327,0.004315521875641327
2017-01-09,2017-01-17,1,1.0585138661733215,0.008488125569449334,0.007488125569449334
2017-02-01,2017-02-08,1,2.2532574435928643,0.02555334736938164,0.02455334736938164
